,Collocations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
175,пальчики оближешь,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
176,первый блин комом,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
177,переливать из пустого в порожнее,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
178,писчая бумага,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0
179,пиши пропало!,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
180,плакали наши денежки!,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0
181,плыть по течению,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
182,плыть против течения,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
183,плясать под чужую дудку,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
184,по добру по здорову!,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
185,по мере того как,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
186,Погодинская улица,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0
187,под градусом,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0
188,подложить свинью,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
189,подобно тому как,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
190,показать кузькину мать,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
191,положа руку на сердце,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1
192,положение хуже губернаторского,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
193,положительный тип,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
194,положить/класть зубы на полку,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
195,помилуй бог,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
196,поминай как звали,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
197,понятная вещь,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
198,попасть впросак,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0
199,после того как,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
200,последняя спица в колеснице,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
201,поставить крест на,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
202,потому что,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
203,потрясающее впечатление,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
204,потупить взор/взгляд/глаза/голову,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
205,почтовое отделение,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
206,почтовый ящик,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
207,прежде чем,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
208,претворить в жизнь/дело,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0
209,претвориться в жизнь/дело,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0
210,при пиковом интересе,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
211,принять решение,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
212,притча во языцех,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0
213,прогрессивный паралич,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
214,прокатить на вороных,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
215,прямая кишка,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1
216,пули отливать,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
217,пуститься во вся тяжкая / все тяжкие,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
218,пути сообщения,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
219,"раз, два и обчелся",0,0,1,1,1,0,1,1,1,0,0,0,0,1,0
220,с боку припёка,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0
221,с мухой,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
222,с приветом,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
223,с тех пор как,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0
224,с того времени как,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0
225,сам с усам,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0
226,сапоги в смятку,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1
227,себе на уме,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1
228,сестра милосердия,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
229,сесть/сидеть/провести/оставить на бобах,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
230,сидеть сложа руки,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0
231,скрепя сердце,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1
232,со всеми потрохами,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
233,совесть зазрила,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0
234,сон в руку,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
235,спать беспробудным сном,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
236,спустя рукава,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1
237,средь бела дня,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0
238,страх/тоска/досада/злость/ужас/зависть/смех/раздумье/охота берет,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
239,стреляный воробей,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
240,съесть собаку (в чем-то),0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
241,сыр-бор загорелся/разгорелся,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
242,так и быть,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
243,так как,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
244,так себе,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
245,так чтобы,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
246,темна вода в облацех,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0
247,то и дело,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
248,"то пусто, то густо",0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
249,точить балясы,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1
250,точить лясы,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1
251,труса/трусу праздновать,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
252,туда ему и дорога!,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
253,у ... семь пятниц на неделе,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
254,у черта на куличках,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0
255,убил бобра,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
256,удельный вес,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
257,уйти в свою скорлупу,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
258,ума не приложу!,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0
259,Федот да не тот,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
260,филькина грамота,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0
261,хлопот полон рот,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
262,хорошенького понемножку,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
263,хороший тон,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
264,хоть куда,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
265,час от часу не легче!,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
266,часть речи,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
267,чего доброго,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
268,чего изволите?,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
269,чем свет,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1
270,чем черт не шутит?,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
271,через пень колоду,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
272,черт его побери,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0
273,черта с два!,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0
274,"что было, то сплыло",0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
275,что ему делается?,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0
276,"чтоб ему ни дна, ни покрышки",1,0,1,1,1,0,1,0,0,0,0,0,0,1,0
277,чтоб ему пусто было,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
278,чуть лишь,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
279,шарашкина фабрика/лавочка/контора,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0
280,шиворот на выворот,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0
281,шутка сказать,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
282,шутки в сторону!,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0
283,"щекотливый(-ое, -ая) вопрос/положение/обстоятельство/мысль/намерение)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
284,язык/языком чесать,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
